GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Mr-JD2-78-21,by.it_academy.jd2.web.filters,SecurityFilter,30,0,4,0,10,0,5,0,3,0
Mr-JD2-78-21,by.it_academy.jd2.core.dto.vui,DataMessage,34,0,4,0,9,0,5,0,3,0
Mr-JD2-78-21,by.it_academy.jd2.core.dto.vui,AllUsers,8,0,2,0,3,0,2,0,1,0
Mr-JD2-78-21,by.it_academy.jd2.core.dto.vui,AllMessage,8,0,2,0,3,0,2,0,1,0
Mr-JD2-78-21,by.it_academy.jd2.core.dto.vui,User,46,0,0,0,15,0,10,0,10,0
Mr-JD2-78-21,by.it_academy.jd2.core.dto.vui,DataStorageUsers,75,0,12,0,16,0,11,0,5,0
Mr-JD2-78-21,by.it_academy.jd2.core.dto.vui,Message,47,0,0,0,12,0,6,0,6,0
Mr-JD2-78-21,by.it_academy.jd2.core.dto.vui,Constants,3,0,0,0,1,0,1,0,1,0
Mr-JD2-78-21,by.it_academy.jd2.core,User,104,0,20,0,21,0,19,0,9,0
Mr-JD2-78-21,by.it_academy.jd2.core,Model,30,0,0,0,10,0,5,0,5,0
Mr-JD2-78-21,by.it_academy.jd2.core,Usersss,17,0,0,0,5,0,3,0,3,0
Mr-JD2-78-21,by.it_academy.jd2.core,Hello,36,0,2,0,10,0,3,0,2,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,AddServlet,40,0,0,0,12,0,3,0,3,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,ServletSignIn,11,0,0,0,3,0,2,0,2,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,ServletMessage,11,0,0,0,3,0,2,0,2,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,ServletSingUp,66,0,0,0,18,0,3,0,3,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,CookieServlet,97,0,6,0,24,0,6,0,3,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,CookieServlet1,116,0,6,0,32,0,8,0,5,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,ServletHi,54,0,2,0,13,0,4,0,3,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,SesiaServlet,68,0,4,0,21,0,5,0,3,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,HelloServlet,20,0,0,0,6,0,2,0,2,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,ListServlet.PrintServlet,27,0,2,0,9,0,3,0,2,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,ListServlet,21,0,0,0,7,0,2,0,2,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,ServletChats,11,0,0,0,3,0,2,0,2,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,SignUp,11,0,0,0,3,0,2,0,2,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets,DtoServlet,176,0,14,0,44,0,11,0,4,0
Mr-JD2-78-21,by.it_academy.jd2,Hello,26,0,4,0,5,0,4,0,2,0
Mr-JD2-78-21,by.it_academy.jd2.web.listeners,SessionChangeListener,9,0,0,0,3,0,2,0,2,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets.home,ServletMessage,64,0,0,0,17,0,3,0,3,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets.home,ServletMenu,11,0,0,0,3,0,2,0,2,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets.home,SignIn,53,0,2,0,15,0,4,0,3,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets.home,Chats,11,0,0,0,3,0,2,0,2,0
Mr-JD2-78-21,by.it_academy.jd2.web.servlets.home,SignUp,70,0,2,0,18,0,4,0,3,0
Mr-JD2-78-21,by.it_academy.jd2.utils,ApacheCommonsLang3,0,6,0,0,0,2,0,2,0,2
Mr-JD2-78-21,by.it_academy.jd2.core.dto,Person,24,0,0,0,10,0,7,0,7,0
Mr-JD2-78-21,by.it_academy.jd2.core.dto,User,41,0,0,0,15,0,10,0,10,0
Mr-JD2-78-21,by.it_academy.jd2.core.dto,HeaderName,24,0,0,0,3,0,1,0,1,0
